,COMUNA,P09,esc_rec,urban,hom,Artés,Boric,Kast,MEO,Parisi,Provoste,Sichel,cluster
42,5103,45.04479290310489,12.75934788157223,0.935871806084838,0.4729180983319798,0.0089555851385695,0.2057364153455161,0.3774658114486264,0.0504659324700472,0.0858445278147565,0.0818508209286377,0.1896809068538464,6
43,5104,44.30965909090909,11.806916426512968,0.0,0.5553977272727273,0.0157728706624605,0.4542586750788643,0.1924290220820189,0.0694006309148265,0.0189274447949526,0.1167192429022082,0.1324921135646687,1
44,5105,46.99179342058719,10.710621912234815,0.8554651574106827,0.4996108949416342,0.0143524319398564,0.2641530926073585,0.2187037247978129,0.0903291946690967,0.1545734138284542,0.1033147283289668,0.1545734138284542,3
45,5107,46.0439073346157,11.023338078598853,0.8433971732039809,0.4901313038387555,0.0151960784313725,0.2521241830065359,0.2448529411764705,0.104656862745098,0.1869281045751634,0.0951797385620915,0.1010620915032679,4
46,5109,45.37053141002795,12.365867721264278,1.0,0.466110183639399,0.0153948950955499,0.2791527462247761,0.3156153948950955,0.0666243485233195,0.0926967793665642,0.0905719631163971,0.1399438727782974,6
47,5201,41.2185191547844,12.703783783783784,0.9486342552825976,0.4863425528259749,0.0141672425708362,0.3358673116793365,0.2007601935038009,0.1116102280580511,0.1074637180373185,0.1216309606081548,0.1085003455425017,7
48,5301,45.23969970683781,11.426083376222335,0.9068021551382616,0.4976230092702638,0.011333585190782,0.2464539616031871,0.2453549472816567,0.0778926400384655,0.1843939966342686,0.1112752000549507,0.1232956691966892,1
49,5302,45.07876049063912,10.555587392550144,0.7137323618924651,0.4881490362445818,0.0144421520393588,0.2069512775749881,0.2166322805903824,0.0983970798285986,0.1972702745595937,0.1495000793524837,0.1168068560545945,4
50,5303,45.02075471698113,10.50665386198381,0.7831536388140161,0.4929919137466307,0.0121927617573059,0.2123088832978517,0.2738532997871105,0.072575962841107,0.1670214824850009,0.1374104896458293,0.1246371201857944,4
51,5304,45.72714224199799,10.492530690726223,0.5863355820295679,0.48636428879001,0.0112481857764876,0.2087566521528785,0.2196419932268989,0.0718432510885341,0.2168601838413159,0.1499758103531688,0.121673923560716,4
52,5401,46.98034959014859,10.048694316436253,0.726840588389415,0.4853089793015683,0.0131751396840725,0.2917155273504863,0.2183210319376422,0.0744291922466717,0.1556873835966062,0.1307856797958198,0.1158860453887011,3
53,5402,46.4195661360755,9.519212609864168,0.6235385265530357,0.4818284265389491,0.0128733264675592,0.298918640576725,0.1849897013388259,0.0875386199794026,0.1683831101956745,0.1619464469618949,0.0853501544799176,3
54,5403,44.571341833636914,10.528141225337489,0.8374822910342036,0.5266140457397288,0.0094052558782849,0.240387275242047,0.2500691562932227,0.0539419087136929,0.1266943291839557,0.1374827109266943,0.1820193637621023,1
55,5404,47.71413390010627,9.328968903436987,0.4139213602550478,0.4910998937300744,0.0132061628760088,0.2873563218390804,0.1640988016629982,0.0914649058449498,0.181462460259232,0.1741257031058938,0.0882856444118366,0
56,5405,47.31248908296944,10.649308673011312,0.6782532751091703,0.5065502183406113,0.0070110701107011,0.1972324723247232,0.3378228782287822,0.0496309963099631,0.0793357933579335,0.0870848708487084,0.2418819188191882,3
57,5501,45.88672268907563,11.03051853177088,0.8642455242966752,0.4729850200949945,0.0154951594767298,0.2537640896250994,0.2723308559361544,0.0825220086114691,0.1557194964758796,0.0963716644269533,0.1237967254477141,4
58,5502,45.84532326618971,10.425018209285389,0.9628554080097153,0.4739037461390216,0.0128990045333457,0.2620460812263401,0.1875029209702294,0.1141281488059073,0.2321353460765527,0.0947329064822171,0.0965555919054073,4
59,5503,45.40035600385671,9.52741947650298,0.6502262107839502,0.4981087295112363,0.0080645161290322,0.1987424822307271,0.235784581738655,0.0880262438490978,0.2588846364133406,0.1041552761071623,0.1063422635319846,4
60,5504,44.04026176378935,11.758296846246589,0.8751012776565908,0.470364599563727,0.0108908734480505,0.2313221520365933,0.2874101502940536,0.0703550424744064,0.1759965149204966,0.0879982574602483,0.1360270093661511,1
61,5506,46.1961153262519,9.843529847979235,0.8456449165402125,0.4800606980273141,0.0140358453897646,0.2510256963938674,0.1620600302310516,0.0970632692722954,0.2578276830058302,0.1181170373569423,0.0998704383502483,4
62,5601,46.09589180542427,10.76962124170246,0.9469933832618338,0.4833127317676143,0.0268258644751124,0.3079547216622732,0.180518943505453,0.1114384659120277,0.1528402336279526,0.1311572853672404,0.0892644854499405,4
63,5602,49.611528592375365,11.44288710907704,0.7878482404692082,0.4835043988269795,0.0110375275938189,0.2425803286730439,0.3528329654157469,0.0578857002698062,0.0696590630365464,0.100196222712779,0.1658081922982585,5
64,5603,48.35925088421175,10.190963600024226,0.9123325795790572,0.4923754855916971,0.018102658111824,0.2506874427131072,0.2659257561869844,0.1191567369385884,0.100481209899175,0.1343950504124656,0.1112511457378551,0
65,5604,50.608984093997286,10.936139578216313,0.9334985213012548,0.4867716409559587,0.0158443900553909,0.3099317274249645,0.2611103954656705,0.0872085533943063,0.0892696122633002,0.1049851861393791,0.1316501352569882,5
66,5605,50.67805294619983,10.781281082156356,0.9528418256001518,0.4967264446342158,0.0198899703766398,0.3137254901960784,0.252644942869234,0.1070672873465933,0.0754690365354775,0.1184934405416843,0.1127098321342925,5
67,5606,47.387727825030375,11.224677948977014,0.5623329283110571,0.4961117861482381,0.0078399567450662,0.173154906731549,0.40551500405515,0.0533928088672614,0.0679913490132468,0.1119221411192214,0.180183833468505,3
68,5701,45.0076068286185,11.1192082852194,0.9048971150138464,0.4765660602236478,0.0144048264642082,0.2606765184381778,0.2556263557483731,0.0745661605206073,0.173298535791757,0.11117136659436,0.1102562364425162,1
69,5702,46.21848418235688,9.377955082742316,0.5529962725795661,0.4950778935295804,0.0091510903426791,0.2375389408099688,0.1927570093457944,0.0940420560747663,0.2223520249221184,0.1290887850467289,0.1150700934579439,3
70,5703,45.84846330526086,9.99441690879052,0.7295198512523242,0.4890079842502461,0.0165071302988865,0.2832584489158039,0.1648759523344403,0.0951357687048251,0.201211174057433,0.1407501465129908,0.0982613791756202,4
71,5704,45.74828417733259,9.762236445783133,0.5405305138193285,0.5025041736227045,0.0085574572127139,0.2182151589242053,0.2658924205378973,0.0699877750611246,0.2172982885085574,0.1188875305623471,0.101161369193154,4
