,COMUNA,P09,esc_rec,urban,hom,Comuna,Artés,Boric,Kast,MEO,Parisi,Provoste,Sichel,Código Comuna 2018
0,1101,43.077208912481666,12.206610978178327,0.9868966962352448,0.4896137458964867,IQUIQUE,0.013232462919276553,0.21097372488408037,0.3269204696439708,0.06354564928550123,0.21424116705984436,0.08186230646167196,0.08922421974565471,1101
1,1107,39.236018006215765,10.566224638833857,0.9656181623068025,0.49402812425961284,ALTO HOSPICIO,0.010811477431554715,0.13084765271725726,0.24089451615555374,0.07037737400312423,0.40631423168626163,0.09093151360684042,0.04982323439940804,1107
2,1401,41.17966695880806,10.756886119389506,0.5960560911481156,0.5994741454864154,POZO ALMONTE,0.01141732283464567,0.10708661417322834,0.24803149606299213,0.05433070866141732,0.4033464566929134,0.13070866141732285,0.04507874015748031,1401
3,1402,47.606521739130436,8.372502937720329,0.0,0.5380434782608695,CAMIÑA,0.0034522439585730723,0.06904487917146145,0.44188722669735325,0.018411967779056387,0.37744533947065595,0.05408515535097814,0.03567318757192175,1402
4,1403,43.29036827195468,8.653281853281854,0.0,0.5856940509915014,COLCHANE,0.004415011037527594,0.018763796909492272,0.4624724061810154,0.005518763796909493,0.47792494481236203,0.019867549668874173,0.011037527593818985,1403
5,1404,46.6258637709773,9.011046817464493,0.3904244817374136,0.5577492596248766,HUARA,0.0071090047393364926,0.1226303317535545,0.2837677725118483,0.0462085308056872,0.39514218009478674,0.09300947867298578,0.052132701421800945,1404
6,1405,42.38053767512306,12.216381896439286,0.35176069670579324,0.737094534898397,PICA,0.01063410791650256,0.15872390705001968,0.2985427333595904,0.03938558487593541,0.29263489562820005,0.12012603387160299,0.07995273729814888,1405
7,2101,41.730220795426355,12.015258144058322,0.9720701006039197,0.49966490045136613,ANTOFAGASTA,0.013363629676248703,0.23009963464572078,0.22283341643031704,0.07249871267787522,0.29676248702461033,0.08290354483559058,0.08153857470963734,2101
8,2102,41.12986512524085,11.091784532049353,0.959344894026975,0.6209055876685935,MEJILLONES,0.013457556935817806,0.19332298136645962,0.1524327122153209,0.06987577639751552,0.42857142857142855,0.09057971014492754,0.051759834368530024,2102
9,2103,39.182188710006116,13.140594466728375,0.0,0.8624414102302833,SIERRA GORDA,0.0078125,0.159375,0.20625,0.0953125,0.365625,0.1234375,0.0421875,2103
10,2104,44.29523522316043,10.551811023622047,0.7968435866505831,0.5768998793727382,TALTAL,0.01557285873192436,0.23665183537263626,0.20022246941045607,0.07591768631813126,0.25194660734149055,0.16740823136818686,0.05228031145717464,2104
11,2201,41.757920416707876,11.69768243301456,0.9464279827250849,0.5225826657435796,CALAMA,0.01038104543234001,0.15674506246074393,0.20392211598855467,0.06821829855537721,0.41241538139437506,0.08570032800614139,0.06261776816246772,2201
12,2202,42.129411764705885,10.33469387755102,0.0,0.6588235294117647,OLLAGUE,0.008130081300813009,0.07859078590785908,0.14363143631436315,0.07317073170731707,0.5962059620596206,0.06775067750677506,0.032520325203252036,2202
13,2203,40.57431749241658,11.875044039929536,0.47578923716436355,0.5739804516346478,SAN PEDRO DE ATACAMA,0.020351526364477335,0.26179463459759483,0.1396854764107308,0.06629663891458526,0.3401171754548258,0.11409189022510022,0.05766265803268578,2203
14,2301,44.98225905122073,10.675523491113848,0.9740281408153051,0.48962794060397086,TOCOPILLA,0.012670447689151683,0.18197176300229276,0.1434777362133462,0.07855677567274044,0.4155906842041752,0.1101725594304332,0.0575600337878605,2301
