Comuna,Nro.Voto,Nro Región,Votos
CALERA DE TANGO,7.0,13,754
CALLE LARGA,1.0,5,1304
CALLE LARGA,2.0,5,1365
CALLE LARGA,3.0,5,942
CALLE LARGA,4.0,5,736
CALLE LARGA,5.0,5,91
CALLE LARGA,6.0,5,620
CALLE LARGA,7.0,5,1243
CAMARONES,1.0,15,111
CAMARONES,2.0,15,252
CAMARONES,3.0,15,195
CAMARONES,4.0,15,57
CAMARONES,5.0,15,6
CAMARONES,6.0,15,53
CAMARONES,7.0,15,375
CAMIÑA,1.0,1,60
CAMIÑA,2.0,1,384
CAMIÑA,3.0,1,47
CAMIÑA,4.0,1,31
CAMIÑA,5.0,1,3
CAMIÑA,6.0,1,16
CAMIÑA,7.0,1,328
CANELA,1.0,4,1161
CANELA,2.0,4,663
CANELA,3.0,4,851
CANELA,4.0,4,294
CANELA,5.0,4,46
CANELA,6.0,4,134
CANELA,7.0,4,679
CARAHUE,1.0,9,1226
CARAHUE,2.0,9,3976
CARAHUE,3.0,9,1748
CARAHUE,4.0,9,955
CARAHUE,5.0,9,113
CARAHUE,6.0,9,497
CARAHUE,7.0,9,944
CARTAGENA,1.0,5,2188
CARTAGENA,2.0,5,2321
CARTAGENA,3.0,5,1173
CARTAGENA,4.0,5,971
CARTAGENA,5.0,5,158
CARTAGENA,6.0,5,1040
CARTAGENA,7.0,5,877
CASABLANCA,1.0,5,2850
CASABLANCA,2.0,5,3330
CASABLANCA,3.0,5,1254
CASABLANCA,4.0,5,1386
CASABLANCA,5.0,5,151
CASABLANCA,6.0,5,768
CASABLANCA,7.0,5,1081
CASTRO,1.0,10,4868
CASTRO,2.0,10,4448
CASTRO,3.0,10,2414
CASTRO,4.0,10,1868
CASTRO,5.0,10,320
CASTRO,6.0,10,954
CASTRO,7.0,10,2733
CATEMU,1.0,5,1220
CATEMU,2.0,5,990
CATEMU,3.0,5,663
CATEMU,4.0,5,591
CATEMU,5.0,5,47
CATEMU,6.0,5,483
CATEMU,7.0,5,1142
CAUQUENES,1.0,7,1999
CAUQUENES,2.0,7,7100
CAUQUENES,3.0,7,1967
CAUQUENES,4.0,7,2379
CAUQUENES,5.0,7,113
CAUQUENES,6.0,7,762
CAUQUENES,7.0,7,1311
CAÑETE,1.0,8,1742
CAÑETE,2.0,8,6296
CAÑETE,3.0,8,1457
CAÑETE,4.0,8,894
CAÑETE,5.0,8,157
CAÑETE,6.0,8,571
CAÑETE,7.0,8,1361
CERRILLOS,1.0,13,9611
CERRILLOS,2.0,13,7195
CERRILLOS,3.0,13,2983
CERRILLOS,4.0,13,3802
