Comuna,Nro.Voto,Nro Región,Votos
LA FLORIDA,2.0,13,33578
LA FLORIDA,3.0,13,16861
LA FLORIDA,4.0,13,23605
LA FLORIDA,5.0,13,3003
LA FLORIDA,6.0,13,13950
LA FLORIDA,7.0,13,10734
LA GRANJA,1.0,13,14887
LA GRANJA,2.0,13,8105
LA GRANJA,3.0,13,5911
LA GRANJA,4.0,13,4555
LA GRANJA,5.0,13,1002
LA GRANJA,6.0,13,5652
LA GRANJA,7.0,13,4760
LA HIGUERA,1.0,4,459
LA HIGUERA,2.0,4,322
LA HIGUERA,3.0,4,296
LA HIGUERA,4.0,4,109
LA HIGUERA,5.0,4,30
LA HIGUERA,6.0,4,116
LA HIGUERA,7.0,4,406
LA LIGUA,1.0,5,4229
LA LIGUA,2.0,5,3165
LA LIGUA,3.0,5,1896
LA LIGUA,4.0,5,1680
LA LIGUA,5.0,5,191
LA LIGUA,6.0,5,1079
LA LIGUA,7.0,5,2257
LA PINTANA,1.0,13,16059
LA PINTANA,2.0,13,9033
LA PINTANA,3.0,13,7562
LA PINTANA,4.0,13,4587
LA PINTANA,5.0,13,1229
LA PINTANA,6.0,13,9034
LA PINTANA,7.0,13,7378
LA REINA,1.0,13,15721
LA REINA,2.0,13,17036
LA REINA,3.0,13,6291
LA REINA,4.0,13,13726
LA REINA,5.0,13,572
LA REINA,6.0,13,1781
LA REINA,7.0,13,1225
LA SERENA,1.0,4,23117
LA SERENA,2.0,4,20297
LA SERENA,3.0,4,9044
LA SERENA,4.0,4,10034
LA SERENA,5.0,4,1218
LA SERENA,6.0,4,5565
LA SERENA,7.0,4,13763
LA UNION,1.0,14,2783
LA UNION,2.0,14,5954
LA UNION,3.0,14,2321
LA UNION,4.0,14,1840
LA UNION,5.0,14,163
LA UNION,6.0,14,763
LA UNION,7.0,14,2212
LAGO RANCO,1.0,14,703
LAGO RANCO,2.0,14,1740
LAGO RANCO,3.0,14,655
LAGO RANCO,4.0,14,475
LAGO RANCO,5.0,14,51
LAGO RANCO,6.0,14,188
LAGO RANCO,7.0,14,487
LAGO VERDE,1.0,11,75
LAGO VERDE,2.0,11,216
LAGO VERDE,3.0,11,65
LAGO VERDE,4.0,11,46
LAGO VERDE,5.0,11,11
LAGO VERDE,6.0,11,16
LAGO VERDE,7.0,11,31
LAGUNA BLANCA,1.0,12,57
LAGUNA BLANCA,2.0,12,134
LAGUNA BLANCA,3.0,12,33
LAGUNA BLANCA,4.0,12,24
LAGUNA BLANCA,5.0,12,3
LAGUNA BLANCA,6.0,12,26
LAGUNA BLANCA,7.0,12,25
LAJA,1.0,8,1299
LAJA,2.0,8,2709
LAJA,3.0,8,1013
LAJA,4.0,8,880
LAJA,5.0,8,83
LAJA,6.0,8,632
LAJA,7.0,8,2295
LAMPA,1.0,13,7393
LAMPA,2.0,13,7309
LAMPA,3.0,13,2752
LAMPA,4.0,13,3677
LAMPA,5.0,13,456
LAMPA,6.0,13,3219
LAMPA,7.0,13,4002
LANCO,1.0,14,1413
LANCO,2.0,14,2312
LANCO,3.0,14,981
LANCO,4.0,14,561
LANCO,5.0,14,78
LANCO,6.0,14,309
LANCO,7.0,14,1000
LAS CABRAS,1.0,6,1993
LAS CABRAS,2.0,6,2392
LAS CABRAS,3.0,6,1471
LAS CABRAS,4.0,6,1282
LAS CABRAS,5.0,6,104
LAS CABRAS,6.0,6,779
LAS CABRAS,7.0,6,835
LAS CONDES,1.0,13,22095
LAS CONDES,2.0,13,78095
LAS CONDES,3.0,13,12333
LAS CONDES,4.0,13,53108
LAS CONDES,5.0,13,598
LAS CONDES,6.0,13,2553
LAS CONDES,7.0,13,1830
LAUTARO,1.0,9,2171
LAUTARO,2.0,9,6919
LAUTARO,3.0,9,2197
LAUTARO,4.0,9,1281
LAUTARO,5.0,9,144
LAUTARO,6.0,9,785
LAUTARO,7.0,9,1829
LEBU,1.0,8,1560
LEBU,2.0,8,3476
LEBU,3.0,8,1348
LEBU,4.0,8,527
LEBU,5.0,8,95
LEBU,6.0,8,632
LEBU,7.0,8,1253
LICANTEN,1.0,7,562
LICANTEN,2.0,7,735
LICANTEN,3.0,7,539
LICANTEN,4.0,7,628
LICANTEN,5.0,7,29
LICANTEN,6.0,7,187
LICANTEN,7.0,7,347
LIMACHE,1.0,5,5243
LIMACHE,2.0,5,5735
LIMACHE,3.0,5,1791
LIMACHE,4.0,5,2418
LIMACHE,5.0,5,280
LIMACHE,6.0,5,1295
LIMACHE,7.0,5,2555
LINARES,1.0,7,7900
LINARES,2.0,7,12574
LINARES,3.0,7,4137
LINARES,4.0,7,4493
LINARES,5.0,7,318
LINARES,6.0,7,2378
LINARES,7.0,7,4913
LITUECHE,1.0,6,673
LITUECHE,2.0,6,935
LITUECHE,3.0,6,615
LITUECHE,4.0,6,470
LITUECHE,5.0,6,31
LITUECHE,6.0,6,200
LITUECHE,7.0,6,208
LLAILLAY,1.0,5,2900
LLAILLAY,2.0,5,1688
LLAILLAY,3.0,5,1441
LLAILLAY,4.0,5,1006
LLAILLAY,5.0,5,169
LLAILLAY,6.0,5,974
LLAILLAY,7.0,5,2060
LLANQUIHUE,1.0,10,1395
LLANQUIHUE,2.0,10,2618
LLANQUIHUE,3.0,10,1190
LLANQUIHUE,4.0,10,627
LLANQUIHUE,5.0,10,66
LLANQUIHUE,6.0,10,562
LLANQUIHUE,7.0,10,1376
LO BARNECHEA,1.0,13,4615
LO BARNECHEA,2.0,13,28309
LO BARNECHEA,3.0,13,2570
LO BARNECHEA,4.0,13,16644
LO BARNECHEA,5.0,13,200
LO BARNECHEA,6.0,13,1249
LO BARNECHEA,7.0,13,1189
LO ESPEJO,1.0,13,12548
LO ESPEJO,2.0,13,6383
LO ESPEJO,3.0,13,4582
LO ESPEJO,4.0,13,3233
LO ESPEJO,5.0,13,923
LO ESPEJO,6.0,13,5690
LO ESPEJO,7.0,13,4296
LO PRADO,1.0,13,12923
LO PRADO,2.0,13,7554
LO PRADO,3.0,13,4785
LO PRADO,4.0,13,4394
LO PRADO,5.0,13,910
LO PRADO,6.0,13,5271
LO PRADO,7.0,13,3879
LOLOL,1.0,6,568
LOLOL,2.0,6,812
LOLOL,3.0,6,654
LOLOL,4.0,6,569
LOLOL,5.0,6,18
LOLOL,6.0,6,120
LOLOL,7.0,6,228
LONCOCHE,1.0,9,1516
LONCOCHE,2.0,9,3501
LONCOCHE,3.0,9,1537
LONCOCHE,4.0,9,938
LONCOCHE,5.0,9,93
LONCOCHE,6.0,9,588
LONCOCHE,7.0,9,1306
LONGAVI,1.0,7,1644
LONGAVI,2.0,7,4182
LONGAVI,3.0,7,1414
LONGAVI,4.0,7,1186
LONGAVI,5.0,7,56
LONGAVI,6.0,7,518
LONGAVI,7.0,7,1077
LONQUIMAY,1.0,9,580
LONQUIMAY,2.0,9,2144
LONQUIMAY,3.0,9,880
LONQUIMAY,4.0,9,326
LONQUIMAY,5.0,9,32
LONQUIMAY,6.0,9,169
LONQUIMAY,7.0,9,427
LOS ALAMOS,1.0,8,1030
LOS ALAMOS,2.0,8,3497
LOS ALAMOS,3.0,8,1073
LOS ALAMOS,4.0,8,477
LOS ALAMOS,5.0,8,78
LOS ALAMOS,6.0,8,380
LOS ALAMOS,7.0,8,1267
LOS ANDES,1.0,5,7176
LOS ANDES,2.0,5,7144
LOS ANDES,3.0,5,3240
LOS ANDES,4.0,5,3590
LOS ANDES,5.0,5,330
LOS ANDES,6.0,5,2268
LOS ANDES,7.0,5,5369
LOS ANGELES,1.0,8,9447
LOS ANGELES,2.0,8,29491
LOS ANGELES,3.0,8,6436
LOS ANGELES,4.0,8,8845
LOS ANGELES,5.0,8,569
LOS ANGELES,6.0,8,3254
LOS ANGELES,7.0,8,11618
LOS LAGOS,1.0,14,1476
LOS LAGOS,2.0,14,2852
LOS LAGOS,3.0,14,1053
LOS LAGOS,4.0,14,698
LOS LAGOS,5.0,14,60
LOS LAGOS,6.0,14,396
LOS LAGOS,7.0,14,1091
LOS MUERMOS,1.0,10,796
LOS MUERMOS,2.0,10,3214
LOS MUERMOS,3.0,10,858
LOS MUERMOS,4.0,10,715
LOS MUERMOS,5.0,10,37
LOS MUERMOS,6.0,10,245
LOS MUERMOS,7.0,10,759
LOS SAUCES,1.0,9,386
LOS SAUCES,2.0,9,1881
LOS SAUCES,3.0,9,462
LOS SAUCES,4.0,9,310
LOS SAUCES,5.0,9,28
LOS SAUCES,6.0,9,130
LOS SAUCES,7.0,9,277
LOS VILOS,1.0,4,2142
LOS VILOS,2.0,4,1431
LOS VILOS,3.0,4,1331
LOS VILOS,4.0,4,801
LOS VILOS,5.0,4,150
LOS VILOS,6.0,4,659
LOS VILOS,7.0,4,1345
LOTA,1.0,8,3893
LOTA,2.0,8,6204
LOTA,3.0,8,3074
LOTA,4.0,8,1290
LOTA,5.0,8,219
LOTA,6.0,8,1812
LOTA,7.0,8,4624
LUMACO,1.0,9,556
LUMACO,2.0,9,2443
LUMACO,3.0,9,455
LUMACO,4.0,9,227
LUMACO,5.0,9,52
LUMACO,6.0,9,175
LUMACO,7.0,9,241
MACHALI,1.0,6,5093
MACHALI,2.0,6,5587
MACHALI,3.0,6,1848
MACHALI,4.0,6,3171
MACHALI,5.0,6,172
MACHALI,6.0,6,1619
MACHALI,7.0,6,2884
MACUL,1.0,13,19448
MACUL,2.0,13,11868
MACUL,3.0,13,5998
MACUL,4.0,13,8416
MACUL,5.0,13,962
MACUL,6.0,13,4314
MACUL,7.0,13,3105
MAFIL,1.0,14,479
MAFIL,2.0,14,1292
MAFIL,3.0,14,423
MAFIL,4.0,14,283
MAFIL,5.0,14,29
MAFIL,6.0,14,187
MAFIL,7.0,14,647
MAIPU,1.0,13,75643
MAIPU,2.0,13,42676
MAIPU,3.0,13,19359
MAIPU,4.0,13,25977
MAIPU,5.0,13,4142
MAIPU,6.0,13,20931
MAIPU,7.0,13,17680
MALLOA,1.0,6,1064
MALLOA,2.0,6,1691
MALLOA,3.0,6,794
MALLOA,4.0,6,682
MALLOA,5.0,6,43
MALLOA,6.0,6,414
MALLOA,7.0,6,686
MARCHIGUE,1.0,6,669
MARCHIGUE,2.0,6,755
MARCHIGUE,3.0,6,595
MARCHIGUE,4.0,6,605
MARCHIGUE,5.0,6,33
MARCHIGUE,6.0,6,171
MARCHIGUE,7.0,6,240
MARIA ELENA,1.0,2,265
MARIA ELENA,2.0,2,212
MARIA ELENA,3.0,2,148
MARIA ELENA,4.0,2,73
MARIA ELENA,5.0,2,34
MARIA ELENA,6.0,2,118
MARIA ELENA,7.0,2,964
MARIA PINTO,1.0,13,1508
MARIA PINTO,2.0,13,1483
MARIA PINTO,3.0,13,756
MARIA PINTO,4.0,13,792
MARIA PINTO,5.0,13,47
MARIA PINTO,6.0,13,420
MARIA PINTO,7.0,13,485
MARIQUINA,1.0,14,1520
MARIQUINA,2.0,14,2346
MARIQUINA,3.0,14,1226
MARIQUINA,4.0,14,667
MARIQUINA,5.0,14,72
MARIQUINA,6.0,14,391
MARIQUINA,7.0,14,1563
MAULE,1.0,7,2117
MAULE,2.0,7,3418
MAULE,3.0,7,1525
MAULE,4.0,7,1544
MAULE,5.0,7,94
MAULE,6.0,7,968
MAULE,7.0,7,2339
MAULLIN,1.0,10,882
MAULLIN,2.0,10,2197
MAULLIN,3.0,10,941
MAULLIN,4.0,10,496
MAULLIN,5.0,10,50
MAULLIN,6.0,10,208
MAULLIN,7.0,10,715
MEJILLONES,1.0,2,747
MEJILLONES,2.0,2,589
MEJILLONES,3.0,2,350
MEJILLONES,4.0,2,200
MEJILLONES,5.0,2,52
MEJILLONES,6.0,2,270
MEJILLONES,7.0,2,1656
MELIPEUCO,1.0,9,362
MELIPEUCO,2.0,9,944
MELIPEUCO,3.0,9,328
MELIPEUCO,4.0,9,199
MELIPEUCO,5.0,9,26
MELIPEUCO,6.0,9,95
MELIPEUCO,7.0,9,247
MELIPILLA,1.0,13,10618
MELIPILLA,2.0,13,12241
MELIPILLA,3.0,13,4810
MELIPILLA,4.0,13,5547
MELIPILLA,5.0,13,590
MELIPILLA,6.0,13,2824
MELIPILLA,7.0,13,4351
MOLINA,1.0,7,3961
MOLINA,2.0,7,4884
MOLINA,3.0,7,3244
MOLINA,4.0,7,2253
MOLINA,5.0,7,185
MOLINA,6.0,7,1647
MOLINA,7.0,7,2641
MONTE PATRIA,1.0,4,1972
MONTE PATRIA,2.0,4,1896
MONTE PATRIA,3.0,4,1837
MONTE PATRIA,4.0,4,794
MONTE PATRIA,5.0,4,185
MONTE PATRIA,6.0,4,748
MONTE PATRIA,7.0,4,2623
MOSTAZAL,1.0,6,2657
MOSTAZAL,2.0,6,2281
MOSTAZAL,3.0,6,1117
MOSTAZAL,4.0,6,1063
MOSTAZAL,5.0,6,128
MOSTAZAL,6.0,6,856
MOSTAZAL,7.0,6,1594
MULCHEN,1.0,8,1351
MULCHEN,2.0,8,3762
MULCHEN,3.0,8,1614
MULCHEN,4.0,8,822
MULCHEN,5.0,8,86
MULCHEN,6.0,8,465
MULCHEN,7.0,8,1830
NACIMIENTO,1.0,8,1367
NACIMIENTO,2.0,8,3693
NACIMIENTO,3.0,8,1264
NACIMIENTO,4.0,8,836
NACIMIENTO,5.0,8,91
NACIMIENTO,6.0,8,477
NACIMIENTO,7.0,8,2852
NANCAGUA,1.0,6,1332
NANCAGUA,2.0,6,1661
NANCAGUA,3.0,6,1276
NANCAGUA,4.0,6,1064
NANCAGUA,5.0,6,60
NANCAGUA,6.0,6,395
NANCAGUA,7.0,6,1006
NATALES,1.0,12,2437
NATALES,2.0,12,2039
NATALES,3.0,12,1253
NATALES,4.0,12,573
NATALES,5.0,12,91
NATALES,6.0,12,714
NATALES,7.0,12,997
NAVIDAD,1.0,6,807
NAVIDAD,2.0,6,761
NAVIDAD,3.0,6,622
NAVIDAD,4.0,6,527
NAVIDAD,5.0,6,53
NAVIDAD,6.0,6,217
NAVIDAD,7.0,6,204
NEGRETE,1.0,8,350
NEGRETE,2.0,8,1545
NEGRETE,3.0,8,508
NEGRETE,4.0,8,399
NEGRETE,5.0,8,25
NEGRETE,6.0,8,217
NEGRETE,7.0,8,661
NINHUE,1.0,16,253
NINHUE,2.0,16,824
NINHUE,3.0,16,695
NINHUE,4.0,16,325
NINHUE,5.0,16,15
NINHUE,6.0,16,105
NINHUE,7.0,16,191
NOGALES,1.0,5,2325
NOGALES,2.0,5,1501
NOGALES,3.0,5,1094
NOGALES,4.0,5,925
NOGALES,5.0,5,130
NOGALES,6.0,5,899
NOGALES,7.0,5,2388
NUEVA IMPERIAL,1.0,9,2196
NUEVA IMPERIAL,2.0,9,4697
NUEVA IMPERIAL,3.0,9,2301
NUEVA IMPERIAL,4.0,9,1191
NUEVA IMPERIAL,5.0,9,178
NUEVA IMPERIAL,6.0,9,1011
NUEVA IMPERIAL,7.0,9,1647
O'HIGGINS,1.0,11,75
O'HIGGINS,2.0,11,142
O'HIGGINS,3.0,11,47
O'HIGGINS,4.0,11,26
O'HIGGINS,5.0,11,3
O'HIGGINS,6.0,11,5
O'HIGGINS,7.0,11,16
OLIVAR,1.0,6,1324
OLIVAR,2.0,6,1701
OLIVAR,3.0,6,718
OLIVAR,4.0,6,835
OLIVAR,5.0,6,46
OLIVAR,6.0,6,493
OLIVAR,7.0,6,1076
OLLAGUE,1.0,2,29
OLLAGUE,2.0,2,53
OLLAGUE,3.0,2,25
OLLAGUE,4.0,2,12
OLLAGUE,5.0,2,3
OLLAGUE,6.0,2,27
OLLAGUE,7.0,2,220
OLMUE,1.0,5,1925
OLMUE,2.0,5,2624
OLMUE,3.0,5,760
OLMUE,4.0,5,1000
OLMUE,5.0,5,101
OLMUE,6.0,5,561
OLMUE,7.0,5,893
OSORNO,1.0,10,14255
OSORNO,2.0,10,21364
OSORNO,3.0,10,9991
OSORNO,4.0,10,7727
OSORNO,5.0,10,837
OSORNO,6.0,10,3309
OSORNO,7.0,10,9914
OVALLE,1.0,4,8759
OVALLE,2.0,4,7745
OVALLE,3.0,4,5571
OVALLE,4.0,4,3731
OVALLE,5.0,4,420
OVALLE,6.0,4,2765
OVALLE,7.0,4,7777
PADRE HURTADO,1.0,13,7117
PADRE HURTADO,2.0,13,5178
PADRE HURTADO,3.0,13,2627
PADRE HURTADO,4.0,13,2774
PADRE HURTADO,5.0,13,418
PADRE HURTADO,6.0,13,3123
PADRE HURTADO,7.0,13,3527
PADRE LAS CASAS,1.0,9,4409
PADRE LAS CASAS,2.0,9,9271
PADRE LAS CASAS,3.0,9,2982
PADRE LAS CASAS,4.0,9,2511
PADRE LAS CASAS,5.0,9,265
PADRE LAS CASAS,6.0,9,1852
PADRE LAS CASAS,7.0,9,4368
PAIHUANO,1.0,4,576
PAIHUANO,2.0,4,488
PAIHUANO,3.0,4,289
PAIHUANO,4.0,4,274
PAIHUANO,5.0,4,37
PAIHUANO,6.0,4,146
PAIHUANO,7.0,4,277
PAILLACO,1.0,14,1428
PAILLACO,2.0,14,3333
PAILLACO,3.0,14,1171
PAILLACO,4.0,14,802
PAILLACO,5.0,14,94
PAILLACO,6.0,14,333
PAILLACO,7.0,14,1226
PAINE,1.0,13,7020
PAINE,2.0,13,8429
PAINE,3.0,13,2699
PAINE,4.0,13,2743
PAINE,5.0,13,266
PAINE,6.0,13,2099
PAINE,7.0,13,3212
PALENA,1.0,10,160
PALENA,2.0,10,307
PALENA,3.0,10,157
PALENA,4.0,10,81
PALENA,5.0,10,7
PALENA,6.0,10,20
PALENA,7.0,10,57
PALMILLA,1.0,6,819
PALMILLA,2.0,6,1127
PALMILLA,3.0,6,1231
PALMILLA,4.0,6,671
PALMILLA,5.0,6,39
PALMILLA,6.0,6,275
PALMILLA,7.0,6,469
PANGUIPULLI,1.0,14,2368
PANGUIPULLI,2.0,14,4900
PANGUIPULLI,3.0,14,1954
PANGUIPULLI,4.0,14,1329
PANGUIPULLI,5.0,14,169
PANGUIPULLI,6.0,14,896
PANGUIPULLI,7.0,14,1836
PANQUEHUE,1.0,5,714
PANQUEHUE,2.0,5,870
PANQUEHUE,3.0,5,389
PANQUEHUE,4.0,5,331
PANQUEHUE,5.0,5,28
PANQUEHUE,6.0,5,229
PANQUEHUE,7.0,5,711
PAPUDO,1.0,5,869
PAPUDO,2.0,5,904
PAPUDO,3.0,5,497
PAPUDO,4.0,5,658
PAPUDO,5.0,5,34
PAPUDO,6.0,5,195
PAPUDO,7.0,5,458
PAREDONES,1.0,6,634
PAREDONES,2.0,6,752
PAREDONES,3.0,6,708
PAREDONES,4.0,6,523
PAREDONES,5.0,6,24
PAREDONES,6.0,6,155
PAREDONES,7.0,6,217
PARRAL,1.0,7,2752
PARRAL,2.0,7,6504
PARRAL,3.0,7,2394
PARRAL,4.0,7,2552
PARRAL,5.0,7,109
PARRAL,6.0,7,829
PARRAL,7.0,7,1551
PEDRO AGUIRRE CERDA,1.0,13,17061
PEDRO AGUIRRE CERDA,2.0,13,7565
PEDRO AGUIRRE CERDA,3.0,13,5050
PEDRO AGUIRRE CERDA,4.0,13,4534
PEDRO AGUIRRE CERDA,5.0,13,1400
PEDRO AGUIRRE CERDA,6.0,13,5660
PEDRO AGUIRRE CERDA,7.0,13,3541
PELARCO,1.0,7,549
PELARCO,2.0,7,1127
PELARCO,3.0,7,595
PELARCO,4.0,7,528
PELARCO,5.0,7,29
PELARCO,6.0,7,248
PELARCO,7.0,7,561
PELLUHUE,1.0,7,692
PELLUHUE,2.0,7,1813
PELLUHUE,3.0,7,531
PELLUHUE,4.0,7,499
PELLUHUE,5.0,7,34
PELLUHUE,6.0,7,179
PELLUHUE,7.0,7,274
PEMUCO,1.0,16,424
PEMUCO,2.0,16,1364
PEMUCO,3.0,16,574
PEMUCO,4.0,16,423
PEMUCO,5.0,16,20
PEMUCO,6.0,16,172
PEMUCO,7.0,16,390
PENCAHUE,1.0,7,634
PENCAHUE,2.0,7,1686
PENCAHUE,3.0,7,936
PENCAHUE,4.0,7,656
PENCAHUE,5.0,7,24
PENCAHUE,6.0,7,269
PENCAHUE,7.0,7,584
PENCO,1.0,8,4384
PENCO,2.0,8,4823
PENCO,3.0,8,3466
PENCO,4.0,8,1798
PENCO,5.0,8,299
PENCO,6.0,8,1652
PENCO,7.0,8,4424
PERALILLO,1.0,6,915
PERALILLO,2.0,6,1092
PERALILLO,3.0,6,921
PERALILLO,4.0,6,772
PERALILLO,5.0,6,40
PERALILLO,6.0,6,273
PERALILLO,7.0,6,392
PERQUENCO,1.0,9,383
PERQUENCO,2.0,9,1252
PERQUENCO,3.0,9,458
PERQUENCO,4.0,9,174
PERQUENCO,5.0,9,36
PERQUENCO,6.0,9,186
PERQUENCO,7.0,9,456
PETORCA,1.0,5,1175
PETORCA,2.0,5,671
PETORCA,3.0,5,712
PETORCA,4.0,5,361
PETORCA,5.0,5,54
PETORCA,6.0,5,374
PETORCA,7.0,5,742
PEUMO,1.0,6,1500
PEUMO,2.0,6,1260
PEUMO,3.0,6,985
PEUMO,4.0,6,770
PEUMO,5.0,6,84
PEUMO,6.0,6,505
PEUMO,7.0,6,791
PEÑAFLOR,1.0,13,10886
PEÑAFLOR,2.0,13,7694
PEÑAFLOR,3.0,13,4238
PEÑAFLOR,4.0,13,4229
PEÑAFLOR,5.0,13,599
PEÑAFLOR,6.0,13,4264
PEÑAFLOR,7.0,13,5103
PEÑALOLEN,1.0,13,30779
PEÑALOLEN,2.0,13,19456
PEÑALOLEN,3.0,13,11182
PEÑALOLEN,4.0,13,14942
PEÑALOLEN,5.0,13,1664
PEÑALOLEN,6.0,13,9789
PEÑALOLEN,7.0,13,7119
PICA,1.0,1,403
PICA,2.0,1,758
PICA,3.0,1,305
PICA,4.0,1,203
PICA,5.0,1,27
PICA,6.0,1,100
PICA,7.0,1,743
PICHIDEGUA,1.0,6,1541
PICHIDEGUA,2.0,6,1614
PICHIDEGUA,3.0,6,1232
PICHIDEGUA,4.0,6,1138
PICHIDEGUA,5.0,6,83
PICHIDEGUA,6.0,6,464
PICHIDEGUA,7.0,6,745
PICHILEMU,1.0,6,2210
PICHILEMU,2.0,6,1996
PICHILEMU,3.0,6,1173
PICHILEMU,4.0,6,1602
PICHILEMU,5.0,6,113
PICHILEMU,6.0,6,553
PICHILEMU,7.0,6,746
PINTO,1.0,16,578
PINTO,2.0,16,2626
PINTO,3.0,16,457
PINTO,4.0,16,726
PINTO,5.0,16,34
PINTO,6.0,16,256
PINTO,7.0,16,446
PIRQUE,1.0,13,3587
PIRQUE,2.0,13,3614
PIRQUE,3.0,13,1504
PIRQUE,4.0,13,1992
PIRQUE,5.0,13,151
PIRQUE,6.0,13,1025
PIRQUE,7.0,13,849
PITRUFQUEN,1.0,9,1573
PITRUFQUEN,2.0,9,4487
PITRUFQUEN,3.0,9,1243
PITRUFQUEN,4.0,9,974
PITRUFQUEN,5.0,9,82
PITRUFQUEN,6.0,9,572
PITRUFQUEN,7.0,9,1077
PLACILLA,1.0,6,643
PLACILLA,2.0,6,977
PLACILLA,3.0,6,722
PLACILLA,4.0,6,580
PLACILLA,5.0,6,47
PLACILLA,6.0,6,282
PLACILLA,7.0,6,636
PORTEZUELO,1.0,16,308
PORTEZUELO,2.0,16,1068
PORTEZUELO,3.0,16,574
PORTEZUELO,4.0,16,371
PORTEZUELO,5.0,16,23
PORTEZUELO,6.0,16,116
PORTEZUELO,7.0,16,207
PORVENIR,1.0,12,761
PORVENIR,2.0,12,581
PORVENIR,3.0,12,304
PORVENIR,4.0,12,166
PORVENIR,5.0,12,18
PORVENIR,6.0,12,193
PORVENIR,7.0,12,247
POZO ALMONTE,1.0,1,544
POZO ALMONTE,2.0,1,1260
POZO ALMONTE,3.0,1,664
POZO ALMONTE,4.0,1,229
POZO ALMONTE,5.0,1,58
POZO ALMONTE,6.0,1,276
POZO ALMONTE,7.0,1,2049
PRIMAVERA,1.0,12,63
PRIMAVERA,2.0,12,66
PRIMAVERA,3.0,12,43
PRIMAVERA,4.0,12,31
PRIMAVERA,5.0,12,4
PRIMAVERA,6.0,12,46
PRIMAVERA,7.0,12,51
PROVIDENCIA,1.0,13,29001
PROVIDENCIA,2.0,13,30223
PROVIDENCIA,3.0,13,10313
PROVIDENCIA,4.0,13,22196
PROVIDENCIA,5.0,13,833
PROVIDENCIA,6.0,13,2063
PROVIDENCIA,7.0,13,1302
PUCHUNCAVI,1.0,5,2319
PUCHUNCAVI,2.0,5,1920
PUCHUNCAVI,3.0,5,907
PUCHUNCAVI,4.0,5,1357
PUCHUNCAVI,5.0,5,126
PUCHUNCAVI,6.0,5,793
PUCHUNCAVI,7.0,5,1357
PUCON,1.0,9,2900
PUCON,2.0,9,4593
PUCON,3.0,9,1089
PUCON,4.0,9,1595
PUCON,5.0,9,136
PUCON,6.0,9,593
PUCON,7.0,9,1352
PUDAHUEL,1.0,13,26745
PUDAHUEL,2.0,13,15263
PUDAHUEL,3.0,13,8275
PUDAHUEL,4.0,13,8815
PUDAHUEL,5.0,13,2028
PUDAHUEL,6.0,13,10562
PUDAHUEL,7.0,13,8608
PUENTE ALTO,1.0,13,68938
PUENTE ALTO,2.0,13,33914
PUENTE ALTO,3.0,13,18244
PUENTE ALTO,4.0,13,23323
PUENTE ALTO,5.0,13,4077
PUENTE ALTO,6.0,13,22321
PUENTE ALTO,7.0,13,19349
PUERTO MONTT,1.0,10,18811
PUERTO MONTT,2.0,10,28790
PUERTO MONTT,3.0,10,9339
PUERTO MONTT,4.0,10,9459
PUERTO MONTT,5.0,10,1209
PUERTO MONTT,6.0,10,5537
PUERTO MONTT,7.0,10,14488
PUERTO OCTAY,1.0,10,651
PUERTO OCTAY,2.0,10,1248
PUERTO OCTAY,3.0,10,956
PUERTO OCTAY,4.0,10,318
PUERTO OCTAY,5.0,10,42
PUERTO OCTAY,6.0,10,201
PUERTO OCTAY,7.0,10,645
PUERTO VARAS,1.0,10,4459
PUERTO VARAS,2.0,10,9205
PUERTO VARAS,3.0,10,2276
PUERTO VARAS,4.0,10,3836
PUERTO VARAS,5.0,10,190
PUERTO VARAS,6.0,10,897
PUERTO VARAS,7.0,10,2151
PUMANQUE,1.0,6,356
PUMANQUE,2.0,6,534
PUMANQUE,3.0,6,383
PUMANQUE,4.0,6,346
PUMANQUE,5.0,6,27
PUMANQUE,6.0,6,133
PUMANQUE,7.0,6,125
PUNITAQUI,1.0,4,819
PUNITAQUI,2.0,4,682
PUNITAQUI,3.0,4,709
PUNITAQUI,4.0,4,296
PUNITAQUI,5.0,4,31
PUNITAQUI,6.0,4,262
PUNITAQUI,7.0,4,1244
PUNTA ARENAS,1.0,12,17374
PUNTA ARENAS,2.0,12,15588
PUNTA ARENAS,3.0,12,4993
PUNTA ARENAS,4.0,12,4781
PUNTA ARENAS,5.0,12,524
PUNTA ARENAS,6.0,12,5485
PUNTA ARENAS,7.0,12,7174
PUQUELDON,1.0,10,300
PUQUELDON,2.0,10,287
PUQUELDON,3.0,10,217
PUQUELDON,4.0,10,102
PUQUELDON,5.0,10,14
PUQUELDON,6.0,10,83
PUQUELDON,7.0,10,293
PUREN,1.0,9,615
PUREN,2.0,9,2644
PUREN,3.0,9,924
PUREN,4.0,9,398
PUREN,5.0,9,49
PUREN,6.0,9,230
PUREN,7.0,9,405
PURRANQUE,1.0,10,1317
PURRANQUE,2.0,10,3456
PURRANQUE,3.0,10,1691
PURRANQUE,4.0,10,882
PURRANQUE,5.0,10,79
PURRANQUE,6.0,10,426
PURRANQUE,7.0,10,1082
PUTAENDO,1.0,5,1807
PUTAENDO,2.0,5,1382
PUTAENDO,3.0,5,1031
PUTAENDO,4.0,5,628
PUTAENDO,5.0,5,119
PUTAENDO,6.0,5,536
PUTAENDO,7.0,5,944
PUTRE,1.0,15,179
PUTRE,2.0,15,658
PUTRE,3.0,15,268
PUTRE,4.0,15,91
